Natural log of the partition function, its derivatives, entropy, and thermal capacity:
T, K         NH2NO        NH2NO        NH2NO        NH2NO        NH2NO
               Z_0          Z_1          Z_2 S, cal/mol/K C, cal/mol/K
300        71.3167    0.0133912 -3.03135e-05      62.9749      12.5322
400        72.5313    0.0111174  -1.7142e-05       66.814      14.2108
500        73.5688   0.00972756 -1.13459e-05      70.1474      15.6811
625         74.707     0.008557 -7.79519e-06      73.8152      17.1917
750        75.7214   0.00771281 -5.88048e-06      77.0606      18.4043
875         76.643   0.00705748 -4.68738e-06      79.9747      19.3986
1000       77.4909   0.00652549 -3.87114e-06      82.6209      20.2293
1125        78.278    0.0060805 -3.27772e-06      85.0452      20.9306
1250       79.0137   0.00570013 -2.82755e-06      87.2821      21.5258
1375       79.7051   0.00536957 -2.47489e-06      89.3581      22.0325
1500       80.3577   0.00507854 -2.19147e-06      91.2942      22.4648
1750       81.5637   0.00458722 -1.76471e-06      94.8115      23.1525
2000       82.6588   0.00418618 -1.45925e-06      97.9381       23.663
2250       83.6623   0.00385126 -1.23044e-06      100.748      24.0481
2500       84.5886   0.00356668 -1.05331e-06      103.298      24.3435
298.2      71.2925    0.0134461 -3.06849e-05      62.8996      12.5007
