Natural log of the partition function, its derivatives, entropy, and thermal capacity:
T, K         NHNOH        NHNOH        NHNOH        NHNOH        NHNOH
               Z_0          Z_1          Z_2 S, cal/mol/K C, cal/mol/K
300        70.3554    0.0124774  -2.7635e-05      60.5199      11.9217
400        71.4912     0.010443 -1.50648e-05       64.211      13.7992
500        72.4705   0.00922964 -9.87232e-06      67.4702      15.4237
625        73.5565   0.00820733 -6.85575e-06      71.0945      17.0524
750        74.5335   0.00745833 -5.26974e-06      74.3208      18.3284
875        75.4275    0.0068658 -4.27725e-06       77.226       19.356
1000       76.2542   0.00637665 -3.58624e-06      79.8677      20.2039
1125       77.0247   0.00596189 -3.07344e-06      82.2896      20.9141
1250       77.7471   0.00560349 -2.67682e-06       84.525      21.5137
1375       78.4274   0.00528934 -2.36083e-06         86.6      22.0226
1500       79.0709   0.00501086  -2.1032e-06      88.5353       22.456
1750       80.2623   0.00453716  -1.7088e-06      92.0513      23.1445
2000       81.3464   0.00414761 -1.42162e-06      95.1768      23.6555
2250       82.3413    0.0038206  -1.2039e-06      97.9863       24.041
2500       83.2607   0.00354171 -1.03387e-06      100.535      24.3369
298.2      70.3329    0.0125274 -2.79985e-05      60.4483      11.8867
